"cerealName","parsedName","brand","dietLabels","healthLabels","calories","Energy_kcal","Total.lipid..fat._g","Fatty.acids..total.saturated_g","Fatty.acids..total.trans_g","Fatty.acids..total.monounsaturated_g","Fatty.acids..total.polyunsaturated_g","Carbohydrate..by.difference_g","Carbohydrates..net._g","Fiber..total.dietary_g","Sugars..total_g","Protein_g","Cholesterol_mg","Sodium..Na_mg","Calcium..Ca_mg","Magnesium..Mg_mg","Potassium..K_mg","Iron..Fe_mg","Zinc..Zn_mg","Phosphorus..P_mg","Vitamin.A..RAE_µg","Vitamin.C..total.ascorbic.acid_mg","Thiamin_mg","Riboflavin_mg","Niacin_mg","Vitamin.B.6_mg","Folate..DFE_µg","Folate..food_µg","Folic.acid_µg","Vitamin.B.12_µg","Vitamin.D..D2...D3._µg","Vitamin.E..alpha.tocopherol._mg","Vitamin.K..phylloquinone._µg","Water_g","Energy_pct","Fat_pct","Saturated_pct","Carbs_pct","Fiber_pct","Protein_pct","Cholesterol_pct","Sodium_pct","Calcium_pct","Magnesium_pct","Potassium_pct","Iron_pct","Zinc_pct","Phosphorus_pct","Vitamin.A_pct","Vitamin.C_pct","Thiamin..B1._pct","Riboflavin..B2._pct","Niacin..B3._pct","Vitamin.B6_pct","Folate.equivalent..total._pct","Vitamin.B12_pct","Vitamin.D_pct","Vitamin.E_pct","Vitamin.K_pct","rawGPTRank","gptDescription"
"Great Grains -Raisins, Dates, Pecans","unparsed","post","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, KETO_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, PALEO, SPECIFIC_CARBS, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, KOSHER",684,684.09,71.25,6.12,NA,40.39,21.4,13.72,4.22,9.5,3.93,9.08,0,0,69.3,119.79,405.9,2.5,4.48,274.23,2.97,1.09,0.65,0.13,1.16,0.21,21.78,21.78,0,0,0,1.39,3.46,3.48,34.2,109.62,30.59,4.57,38.02,18.16,0,0,6.93,28.52,8.64,13.91,40.77,39.18,0.33,1.21,54.45,9.9,7.22,15.99,5.44,0,0,9.24,2.89,"8.5","Great Grains -Raisins, Dates, Pecans : Great Grains -Raisins Dates Pecans is a wholesome crunchy cereal made by Post that is packed with nutritious ingredients. It is a perfect blend of raisins, dates and pecans that provides a delicious and satisfying breakfast."
"Great Grains Crunchy Pecan","unparsed","post","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, KETO_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, PALEO, SPECIFIC_CARBS, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",684,684.09,71.25,6.12,NA,40.39,21.4,13.72,4.22,9.5,3.93,9.08,0,0,69.3,119.79,405.9,2.5,4.48,274.23,2.97,1.09,0.65,0.13,1.16,0.21,21.78,21.78,0,0,0,1.39,3.46,3.48,34.2,109.62,30.59,4.57,38.02,18.16,0,0,6.93,28.52,8.64,13.91,40.77,39.18,0.33,1.21,54.45,9.9,7.22,15.99,5.44,0,0,9.24,2.89,"8.5","Great Grains Crunchy Pecan :  is a whole grain breakfast cereal with crunchy oven-toasted sweet pecans, raisins, and crunchy flakes of wheat, barley, and oats. It provides a source of essential vitamins and minerals like Vitamin B, Iron, Folate and Zinc for a nutritious start to your day."
"Healthy Choice Granola Low Fat","unparsed","quaker","BALANCED, LOW_SODIUM","KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",596,596.58,29.35,4.95,0,11.62,11.25,64.97,53.98,10.98,24.4,18.12,0,30.5,95.16,213.5,658.8,5.16,4.92,556.32,1.22,1.46,0.9,0.36,2.61,0.36,100.04,100.04,0,0,0,13.55,10.61,6.59,29.83,45.16,24.75,21.66,43.92,36.23,0,1.27,9.52,50.83,14.02,28.67,44.7,79.47,0.14,1.63,74.72,27.4,16.34,27.59,25.01,0,0,90.36,8.85,"8.5","Healthy Choice Granola Low Fat :   is a delicious cereal made with rolled oats, sliced almonds, sweet cranberries, and brown sugar. It's low in fat and provides 45% of your daily recommended value of whole grains per serving."
"Healthy Choice Mueslix Raisin & Almond Crunch","unparsed","quaker","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, KETO_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, PALEO, SPECIFIC_CARBS, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, KOSHER",827,827.97,71.4,5.44,0.02,45.12,17.63,30.82,12.94,17.88,6.22,30.24,0,1.43,384.67,386.1,1048.19,5.31,4.46,687.83,0,0,0.29,1.63,5.17,0.2,62.92,62.92,0,0,0,36.65,0,6.31,41.4,109.85,27.18,10.27,71.5,60.49,0,0.06,38.47,91.93,22.3,29.47,40.56,98.26,0,0,24.43,125.18,32.34,15.07,15.73,0,0,244.34,0,"8.5","Healthy Choice Mueslix Raisin & Almond Crunch :  Oats is a delicious cereal of whole grain oats, crunchy almonds, raisins, and cinnamon clusters baked to perfection for a wholesomely satisfying breakfast. It is an excellent source of fiber and 8 essential vitamins and minerals to nourish your body each morning."
"Healthy Choice Toasted Brown Sugar Squares","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, FODMAP_FREE, KOSHER",551,551,0,0,NA,0,0,142.23,142.23,0,140.68,0.17,0,40.6,120.35,13.05,192.85,1.03,0.04,5.8,0,0,0,0,0.16,0.06,1.45,1.45,0,0,0,0,0,1.94,27.55,0,0,47.41,0,0.35,0,1.69,12.04,3.11,4.1,5.72,0.4,0.83,0,0,0,0,1,4.57,0.36,0,0,0,0,"6.5","Healthy Choice Toasted Brown Sugar Squares :  is a deliciously sweet and crunchy cereal made with whole grain oats and real cinnamon. It is made with no artificial flavors or colors and is an excellent source of fiber, making it an excellent option for a healthy breakfast."
"Homemade Granola","unparsed","post","BALANCED, LOW_SODIUM","KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",596,596.58,29.35,4.95,0,11.62,11.25,64.97,53.98,10.98,24.4,18.12,0,30.5,95.16,213.5,658.8,5.16,4.92,556.32,1.22,1.46,0.9,0.36,2.61,0.36,100.04,100.04,0,0,0,13.55,10.61,6.59,29.83,45.16,24.75,21.66,43.92,36.23,0,1.27,9.52,50.83,14.02,28.67,44.7,79.47,0.14,1.63,74.72,27.4,16.34,27.59,25.01,0,0,90.36,8.85,"I apologize for the confusion but I want to clarify that Homemade Granola is typically made at home and not by Post cereal. However, if you are referring to the Post Great Grains Granola cereal which is a store-bought product, I would give it a rank of 8.","Homemade Granola :  is a crunchy and tasty breakfast cereal with a combination of oats, nuts, and seeds with added honey, cinnamon, and brown sugar for a boost of flavor. It's a healthy choice for a quick and easy breakfast or an afternoon snack."
"Honey Bunches of Oats Honey Roasted","unparsed","post","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, KOSHER",1030,1030.56,0,0,NA,0,0,279.34,278.66,0.68,278.39,1.02,0,13.56,20.34,6.78,176.28,1.42,0.75,13.56,0,1.7,0,0.13,0.41,0.08,6.78,6.78,0,0,0,0,0,57.97,51.53,0,0,93.11,2.71,2.03,0,0.56,2.03,1.61,3.75,7.91,6.78,1.94,0,1.88,0,9.91,2.56,6.26,1.7,0,0,0,0,"8.5","Honey Bunches of Oats Honey Roasted :  is a cereal made from oats and honey with a honey roasted flavor. It's crunchy texture and unique combination of sweetness and nutty flavors make it a popular breakfast favorite."
"Honey Bunches of Oats with Almonds","unparsed","post","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, KETO_FRIENDLY, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, KOSHER",827,827.97,71.4,5.44,0.02,45.12,17.63,30.82,12.94,17.88,6.22,30.24,0,1.43,384.67,386.1,1048.19,5.31,4.46,687.83,0,0,0.29,1.63,5.17,0.2,62.92,62.92,0,0,0,36.65,0,6.31,41.4,109.85,27.18,10.27,71.5,60.49,0,0.06,38.47,91.93,22.3,29.47,40.56,98.26,0,0,24.43,125.18,32.34,15.07,15.73,0,0,244.34,0,"9.5","Honey Bunches of Oats with Almonds :  is a crunchy cereal made up of different shapes of oats and almonds, offering a sweet and nut-filled breakfast experience."
"Honey Crunch Corn Flakes","unparsed","kellog","LOW_FAT","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",154,154,0.76,0.12,0,0.4,0.24,34.8,33.44,1.36,13.2,2.72,0,280,8.8,8.8,40.8,2.48,0.12,24,200.8,8,0.5,0.6,6.64,0.68,221.2,7.6,125.6,2,1.4,0.23,0.08,1.2,7.7,1.17,0.6,11.6,5.44,5.44,0,11.67,0.88,2.1,0.87,13.78,1.09,3.43,22.31,8.89,41.67,46.15,41.5,52.31,55.3,83.33,9.33,1.52,0.07,"8.5","Honey Crunch Corn Flakes : 'sThis cereal is an iconic Kellog's brand cereal made with crunchy golden flakes with the perfect hint of sweet honey. It's the perfect fiber-rich breakfast to start your day right."
"Honey Grahams","unparsed","generalMills","","LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",361,361.2,8.9,1.37,0.05,2.11,4.53,65.23,62.38,2.86,20.87,5.62,0,385.56,64.68,33.6,142.8,3.18,0.81,155.4,0,0,0.22,0.27,3.73,0.13,119.28,15.96,60.48,0,0,1.27,12.01,2.85,18.06,13.7,6.86,21.74,11.42,11.24,0,16.07,6.47,8,3.04,17.64,7.33,22.2,0,0,18.55,20.48,23.3,10.08,29.82,0,0,8.46,10.01,"8.5","Honey Grahams :  is a sweet and crunchy cereal made with delicious honey and graham mix, perfect for adding a hint of sweetness to breakfast. It has a perfect combination of crunch and sweetness, perfect for both children and adults."
"Honey Nut Cheerios","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",140,140.37,1.87,0.2,0,0.41,0.38,29.75,27.1,2.65,12.28,3.3,0,211.31,158.67,33.6,153.81,7.68,6.41,122.45,311.36,7.99,0.72,0.7,7.99,0.85,412.91,7.09,238.93,2.8,1.72,0.18,0.86,1.07,7.02,2.87,0.99,9.92,10.6,6.61,0,8.8,15.87,8,3.27,42.68,58.27,17.49,34.6,8.88,59.64,53.62,49.93,65.1,103.23,116.67,11.45,1.19,0.72,"8.5","Honey Nut Cheerios :  is a healthy cereal with a delicious honey nut flavor. It's a great option for both kids and adults to enjoy as part of a balanced breakfast."
"Honey Nut Chex General Mills","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",160,160,0.85,0.21,0,0.21,0.43,36.98,35.32,1.66,11.99,2.69,0,256,133.55,10.67,93.44,6.02,4.99,26.88,184.32,8.02,0.51,0.55,6.66,0.67,221.01,8.11,125.44,2,1.32,0.09,0.04,0.94,8,1.31,1.07,12.33,6.66,5.38,0,10.67,13.35,2.54,1.99,33.42,45.34,3.84,20.48,8.91,42.67,42.34,41.6,51.2,55.25,83.38,8.82,0.6,0.04,"8.5","Honey Nut Chex General Mills :  is a sweet oat-based cereal made with real honey and contains crunchy clusters of roasted nut pieces. It has 10% of dv of iron, making it an ideal snack or breakfast cereal to start your day."
"Honey Nut Clusters","unparsed","generalMills","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, LOW_SUGAR, KIDNEY_FRIENDLY, KETO_FRIENDLY, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, KOSHER",813,813.78,70.49,9.45,NA,43.01,14.75,34.73,22.4,12.33,NA,23.7,0,16.44,95.9,308.25,817.89,5.07,5.21,595.95,1.37,0.55,0.27,0.27,6.44,0.41,68.5,68.5,0,0,0,NA,NA,2.4,40.69,108.44,47.26,11.58,49.32,47.4,0,0.69,9.59,73.39,17.4,28.16,47.33,85.14,0.15,0.61,22.83,21.08,40.24,31.19,17.12,0,0,NA,NA,"8.5","Honey Nut Clusters :                     are crunchy clusters of whole grain oats, wheat, and rice sweetened with honey and other natural flavors."
"Honey Nut Oh's","unparsed","quaker","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, LOW_SUGAR, KIDNEY_FRIENDLY, KETO_FRIENDLY, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, KOSHER",813,813.78,70.49,9.45,NA,43.01,14.75,34.73,22.4,12.33,NA,23.7,0,16.44,95.9,308.25,817.89,5.07,5.21,595.95,1.37,0.55,0.27,0.27,6.44,0.41,68.5,68.5,0,0,0,NA,NA,2.4,40.69,108.44,47.26,11.58,49.32,47.4,0,0.69,9.59,73.39,17.4,28.16,47.33,85.14,0.15,0.61,22.83,21.08,40.24,31.19,17.12,0,0,NA,NA,"5.5","Honey Nut Oh's :   is a sweet, crunchy cereal with a healthy balance of oats, honey and nut flavor. It's a good source of whole grains and energy to fuel your day."
"Honey Nut Shredded Wheat Bite Size Cereal","unparsed","post","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",168,168.5,0.75,0.15,0,0.2,0.3,40.7,34.8,5.9,5.65,5.5,0,145.5,14.5,37.5,122,1.45,0.75,87,NA,0,0.14,0.05,2.1,0.1,NA,0.5,NA,NA,NA,0.34,NA,1.65,8.43,1.15,0.75,13.57,23.6,11,0,6.06,1.45,8.93,2.6,8.06,6.82,12.43,NA,0,12.08,3.85,13.12,7.69,NA,NA,NA,2.23,NA,"8.5","Honey Nut Shredded Wheat Bite Size Cereal :  is a crunchy, light and sweet cereal made with whole wheat. It is full of wheat berry goodness, corn syrup, honey and a touch of brown sugar for extra sweetness."
"Just Right with Fruit and Nuts","unparsed","kellog","LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, LOW_SUGAR, KIDNEY_FRIENDLY, KETO_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DASH, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, NO_SUGAR_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",813,813.78,70.49,9.45,NA,43.01,14.75,34.73,22.4,12.33,NA,23.7,0,16.44,95.9,308.25,817.89,5.07,5.21,595.95,1.37,0.55,0.27,0.27,6.44,0.41,68.5,68.5,0,0,0,NA,NA,2.4,40.69,108.44,47.26,11.58,49.32,47.4,0,0.69,9.59,73.39,17.4,28.16,47.33,85.14,0.15,0.61,22.83,21.08,40.24,31.19,17.12,0,0,NA,NA,"I would give Just Right with Fruit and Nuts cereal a rank of 6.5.","Just Right with Fruit and Nuts : 's is a crispy blend of whole grain oats, assorted dried fruit and crunchy nuts. It is a healthy snack with a sweet and crunchy texture perfect for breakfast or any time of day."
"Kellogg's All Bran Bran Buds","unparsed","kellog","HIGH_FIBER, LOW_FAT","LOW_FAT_ABS, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",231,231.53,2.25,0.45,0,0.45,1.35,72.97,34.68,38.29,24.05,8.02,0,617.12,56.76,180.18,730.63,13.51,4.5,450.45,450.45,18.02,1.13,1.28,15.05,6.01,2015.32,36.94,1163.96,18.02,2.97,0,0.81,2.7,11.58,3.47,2.25,24.32,153.15,16.04,0,25.71,5.68,42.9,15.55,75.08,40.95,64.35,50.05,20.02,93.84,98.41,94.03,462.23,503.83,750.75,19.82,0,0.68,"I apologize for the confusion in my previous answer. Kellogg's All-Bran Bran Buds cereal will still have a rank of 1 based on the scale I am using which indicates a high nutritional value.","Kellogg's All Bran Bran Buds : 's is a sugar-free cereal that is low in fat, but rich in fiber. It contains whole grain wheat, oat bran and wheat bran that helps promote a healthy digestive system."
"Kellogg's Cocoa Krispies","unparsed","kellog","HIGH_FIBER, LOW_CARB, LOW_SODIUM","SUGAR_CONSCIOUS, VEGAN, VEGETARIAN, PESCATARIAN, PALEO, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",196,196.08,11.78,6.94,NA,3.93,0.38,49.79,17.97,31.82,1.5,16.86,0,18.06,110.08,429.14,1310.64,11.92,5.86,631.24,0,0,0.07,0.21,1.88,0.1,27.52,27.52,0,0,0,0.09,2.15,2.58,9.8,18.13,34.7,16.6,127.28,33.71,0,0.75,11.01,102.18,27.89,66.22,53.24,90.18,0,0,5.59,15.94,11.74,7.81,6.88,0,0,0.57,1.79,"6.5","Kellogg's Cocoa Krispies :  is a crispy, chocolatey, sweet breakfast cereal that brings a fun twist to any morning. It's a delectable way to start the day that kids and adults love."
"Kellogg's Complete Wheat Bran Flakes","unparsed","kellog","HIGH_FIBER, LOW_SODIUM","LOW_FAT_ABS, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",161,161.2,3.04,0.4,0,0.42,1.31,46.03,27.86,18.17,9.73,8.15,0,159.96,241.18,224.44,632.4,10.91,7.69,713,323.64,12.4,1.41,1.68,9.18,7.44,1362.76,25.42,786.78,11.66,2.67,0.77,3.22,1.31,8.06,4.67,1.98,15.34,72.66,16.29,0,6.66,24.12,53.44,13.46,60.62,69.89,101.86,35.96,13.78,117.28,129.25,57.35,572.31,340.69,485.67,17.77,5.13,2.69,"8","Kellogg's Complete Wheat Bran Flakes : 's is a delicious cereal made from wheat bran flakes and other grains, with a deliciously crunchy texture and a light coating of sweetness. It's a great way to start your day with a healthy and filling breakfast."
"Kellogg's Corn Flakes","unparsed","kellog","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",99,99.96,0.11,0.03,0,0.02,0.05,23.55,22.62,0.92,2.66,2.1,0,204.12,1.4,10.92,47.04,8.09,0.28,28.56,137.2,5.88,0.38,0.43,5.01,0.5,163.24,9.52,90.44,1.4,1.01,0.03,0,1.05,5,0.17,0.16,7.85,3.7,4.2,0,8.51,0.14,2.6,1,44.96,2.55,4.08,15.24,6.53,31.27,32.74,31.32,38.55,40.81,58.33,6.72,0.22,0,"6","Kellogg's Corn Flakes :  is a crispy, crunchy cereal from corn flakes perfect for a healthy and tasty breakfast. It is beloved for its sweet flavor and simple ingredients."
"Kellogg's Corn Pops","unparsed","kellog","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",116,116.1,0.39,0.15,0,0.06,0.15,26.91,24.39,2.52,9.39,1.44,0,107.1,2.1,8.4,33.9,1.8,1.5,15.6,140.1,6,0.38,0.43,5.01,0.5,165.9,5.7,94.2,1.5,0.99,0.04,0,0.9,5.8,0.6,0.75,8.97,10.08,2.88,0,4.46,0.21,2,0.72,10,13.64,2.23,15.57,6.67,31.25,32.77,31.31,38.54,41.48,62.5,6.6,0.24,0,"6.5","Kellogg's Corn Pops :  is a crunchy puffed-grain cereal with a sweet corn flavor, covered in a sugary coating, that's great for breakfast or a snack. It's a favorite cereal among kids and adults alike."
